Mes.Base,Ano.Exec,Veiculo,CO.Cliente,CO.Fabrica,rota,cod_rota,Qtd.Transp,Vlr.Frete,km_api,custo/km,custo/unid,qtd_max_veiculo,num_viagens,qtd_max_transp,taxa_ocupacao
10,2023,P12,2330,3423909,ITU - MAUA,3423909-2330,240600,54564.36,161.745,2.219395051665145,0.22452349415204678,1800.0,152.0,273600.0,0.8793859649122807
10,2023,P12,2330,3424402,JACAREI - MAUA,3424402-2330,121500,0.0,95.012,0.0,0.0,1800.0,77.0,138600.0,0.8766233766233766
10,2023,P12,2331,3403208,ARARAQUARA - OSASCO,3403208-2331,114000,85828.01000000001,269.467,4.423753908435707,0.755551774691358,1800.0,72.0,129600.0,0.8796296296296297
10,2023,P12,2331,3423909,ITU - OSASCO,3423909-2331,140700,40128.99,88.048,5.179121047610395,0.2865836363636364,1800.0,88.0,158400.0,0.8882575757575758
10,2023,P12,2331,3424402,JACAREI - OSASCO,3424402-2331,255300,76245.66,100.014,4.735092366571786,0.29820902691511386,1800.0,161.0,289800.0,0.8809523809523809
10,2023,P12,2332,3403208,ARARAQUARA - SAO PAULO,3403208-2332,122700,1209.15,264.892,0.05852167327410068,0.010334615384615385,1800.0,78.0,140400.0,0.8739316239316239
10,2023,P12,2332,3423909,ITU - SAO PAULO,3423909-2332,136800,0.0,94.751,0.0,0.0,1800.0,86.0,154800.0,0.8837209302325582
10,2023,P12,2332,3424402,JACAREI - SAO PAULO,3424402-2332,139800,0.0,91.551,0.0,0.0,1800.0,87.0,156600.0,0.89272030651341
10,2023,P12,2333,3403208,ARARAQUARA - SAO PAULO,3403208-2333,150600,0.0,285.391,0.0,0.0,1800.0,93.0,167400.0,0.899641577060932
10,2023,P12,2333,3423909,ITU - SAO PAULO,3423909-2333,131700,0.0,117.49599999999998,0.0,0.0,1800.0,84.0,151200.0,0.871031746031746
10,2023,P12,2333,3424402,JACAREI - SAO PAULO,3424402-2333,143700,1132.25,75.63,0.1645155056499761,0.007789389499389499,1800.0,91.0,163800.0,0.8772893772893773
10,2023,P12,2334,3403208,ARARAQUARA - SANTANA DE PARNAIBA,3403208-2334,96600,68899.91,257.469,4.460078041757778,0.7185721296296297,1800.0,60.0,108000.0,0.8944444444444445
10,2023,P12,2334,3423909,ITU - SANTANA DE PARNAIBA,3423909-2334,110100,28675.32,86.429,4.672942490123376,0.2599941784037559,1800.0,71.0,127800.0,0.8615023474178404
10,2023,P12,2334,3424402,JACAREI - SANTANA DE PARNAIBA,3424402-2334,123900,39397.68,107.497,4.698721467003373,0.31684713675213677,1800.0,78.0,140400.0,0.8824786324786325
10,2023,P12,2335,3403208,ARARAQUARA - SANTANA DE PARNAIBA,3403208-2335,132600,101925.38,258.345,4.696810005815405,0.7700739417989417,1800.0,84.0,151200.0,0.876984126984127
10,2023,P12,2335,3423909,ITU - SANTANA DE PARNAIBA,3423909-2335,138600,35998.26,84.402,4.959413504474434,0.26122720930232557,1800.0,86.0,154800.0,0.8953488372093024
10,2023,P12,2335,3424402,JACAREI - SANTANA DE PARNAIBA,3424402-2335,118500,37777.950000000004,108.166,4.719716341898914,0.31732027027027027,1800.0,74.0,133200.0,0.8896396396396397
10,2023,P12,2336,3423909,ITU - SAO CARLOS,3423909-2336,116700,61599.11,168.829,4.998095260041428,0.5287347488584475,1800.0,73.0,131400.0,0.8881278538812786
10,2023,P12,2336,3424402,JACAREI - SAO CARLOS,3424402-2336,99600,72401.22,283.079,4.1252145616708615,0.7354338709677419,1800.0,62.0,111600.0,0.8924731182795699
10,2023,P12,2337,3423909,ITU - SAO CARLOS,3423909-2337,122100,64183.05,167.068,4.925297575745297,0.525182094017094,1800.0,78.0,140400.0,0.8696581196581197
10,2023,P12,2337,3424402,JACAREI - SAO CARLOS,3424402-2337,120600,90464.58,281.319,4.287639299158606,0.7507180000000001,1800.0,75.0,135000.0,0.8933333333333333
